Textbox20
"MassDOT makes no representation as to the accuracy, adequacy, reliability, availability or completeness of the crash records or the data collected from them and is not responsible for any errors or omissions in such records or data. Under no circumstance will MassDOT have any liability for any loss or damage incurred by any party as a result of the use of the crash records or the data collected from them. Furthermore, the data contained in the web-based crash report tool are not an official record of what transpired in a particular crash or for a particular crash type. If a user is interested in an official copy of a crash report, contact the Registry (http://www.mass.gov/rmv/).

The City of Boston Police Department may be contacted directly for official copies of crash reports and for crash data pertaining to the City of Boston. In addition, any crash records or data provided for the years 2022 and later are subject to change at any time and are not to be considered up-to-date or complete. As such, open years’ of crash data are for informational purposes only and should not be used for analysis.
5280644,SOMERVILLE,07-Jun-2023,10:28 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Travelling straight ahead,V1: W  / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Tractor/semi-trailer) / V2:(Unknown heavy truck, cannot classify)",Dry,Daylight,Clear,,75 MYSTIC AVENUE Rte UNKNOW,,,,,234663.9019768,904258.36536528
5266653,SOMERVILLE,07-Jun-2023,6:00 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2: Travelling straight ahead,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Dry,Daylight,Clear/Cloudy,RAMP-WASHINGTON ST TO RT 28 NB,RAMP-WASHINGTON ST TO RT 28 NB,,,,,233785.05392398,903474.87901372
5263499,SOMERVILLE,07-Jun-2023,6:40 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Travelling straight ahead / V2: Turning left,V1: N  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,ALEWIFE BROOK PARKWAY Rte SR16 E / BROADWAY,ALEWIFE BROOK PARKWAY Rte SR16 E / BROADWAY,,,,,230165.3436,906330.4999
5305887,SOMERVILLE,07-Jun-2023,11:20 PM,Non-fatal injury,Suspected Minor Injury (B),2,1,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Dark - lighted roadway,Clear,,,,,,,234110.61049626,904849.02618964
5275854,SOMERVILLE,08-Jun-2023,2:20 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Travelling straight ahead / V2: Turning right,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Cloudy,GRAND UNION BLVD Rte S / REVOLUTION DR Rte E,GRAND UNION BLVD Rte S / REVOLUTION DR Rte E,,,,,234583.9139,904614.4535
5268616,SOMERVILLE,08-Jun-2023,9:30 PM,Non-fatal injury,Suspected Minor Injury (B),3,1,0,Rear-end,V1: Slowing or stopped in traffic / V2: Travelling straight ahead / V3: Slowing or stopped in traffic,V1: N  / V2: N  / V3: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility)) / V3:(Passenger car)",Dry,Dark - lighted roadway,Clear,,Rte 93 N,,,PRIOR TO EXIT 20,,,
5265202,SOMERVILLE,10-Jun-2023,7:25 PM,Property damage only (none injured),No Apparent Injury (O),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1: N,V1:(Collision with median barrier),V1:(Passenger car),Wet,Dusk,Clear,,INTERSTATE 93 Rte I93 N,INTERSTATE 93 Rte I93 N Milemarker 19.8,,,,234794.21698341,904056.74852075
5276193,SOMERVILLE,11-Jun-2023,4:14 AM,Property damage only (none injured),No Apparent Injury (O),4,0,0,"Sideswipe, same direction",V1: Parked / V2: Parked / V3: Travelling straight ahead / V4: Parked,V1: E  / V2: E  / V3: E  / V4: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with other movable object) / V3:(Collision with parked motor vehicle) / V4:(Collision with other movable object),V1:(Passenger car) / V2:(Passenger car) / V3:(Passenger car) / V4:(Passenger car),Dry,Dark - lighted roadway,Clear,,109 WALNUT ST Rte E,,,,,233491.74803009,904146.15096161
5275878,SOMERVILLE,11-Jun-2023,7:40 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Single vehicle crash,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: N  / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear,HIGHLAND AV Rte N / WILLOW AV Rte W,HIGHLAND AV Rte N / WILLOW AV Rte W,,,,,231549.8439,904915.0625
5268698,SOMERVILLE,11-Jun-2023,11:45 AM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,Angle,V1: Not reported,V1:,,V1:(Unknown vehicle configuration),Dry,Daylight,Clear,ALEWIFE BROOK PARKWAY Rte SR16 E / BROADWAY,ALEWIFE BROOK PARKWAY Rte SR16 E / BROADWAY,,,, VU2: Bicyclist / VU3: Bicyclist,230165.3436,906330.4999
5275866,SOMERVILLE,11-Jun-2023,12:50 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Parked / V2: Travelling straight ahead,V1: E  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with parked motor vehicle),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear/Clear,,9 TUFTS ST Rte E,,,,,233932.00311151,903518.52025573
5275863,SOMERVILLE,11-Jun-2023,1:12 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Single vehicle crash,V1: Parked / V2: Travelling straight ahead,V1: S  / V2: S,V1:(Collision with parked motor vehicle) / V2:(Collision with parked motor vehicle),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear,,126 COLLEGE AV Rte S,,,,,231471.42986658,905595.4823007
5275858,SOMERVILLE,11-Jun-2023,4:49 PM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,Single vehicle crash,V1: Turning right,V1: W,V1:(Collision with pedestrian),V1:(Passenger car),Dry,Daylight,Clear,BROADWAY Rte W / MCGRATH HWY Rte S,BROADWAY Rte W / MCGRATH HWY Rte S,,,, VU2: Pedestrian,233903.9374,904449.1251
5275881,SOMERVILLE,11-Jun-2023,11:57 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Parked / V2: Travelling straight ahead,V1: S  / V2: S,V1:(Collision with parked motor vehicle) / V2:(Collision with parked motor vehicle),"V1:(Passenger car) / V2:(Single-unit truck (2-axle, 6-tires))",Dry,Dark - lighted roadway,Clear,,HINCKLEY ST Rte S / ROBERTS ST Rte,,,,,232431.0939722,905117.94191585
5275874,SOMERVILLE,12-Jun-2023,9:45 AM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,Single vehicle crash,V1: Travelling straight ahead,V1: E,V1:(Collision with pedestrian),V1:(Passenger car),Dry,Daylight,Clear/Clear,,377 SOMERVILLE AV Rte E,,,, VU2: Other,232991.41365543,903479.20368043
5275864,SOMERVILLE,12-Jun-2023,1:53 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Turning left / V2: Travelling straight ahead,V1: E  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Cloudy,,519 SOMERVILLE AV Rte E,,,,,232411.62957662,903707.89030088
5265212,SOMERVILLE,13-Jun-2023,12:25 AM,Non-fatal injury,Suspected Minor Injury (B),2,1,0,Angle,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: E  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Wet,Dark - lighted roadway,Rain,MYSTIC AVENUE Rte SR38 N / RAMP-RT 28 SB TO RT 93 SB/MYSTIC AVE SB,MYSTIC AVENUE Rte SR38 N / RAMP-RT 28 SB TO RT 93 SB/MYSTIC AVE SB,,,,,234112.1408,904912.5624
5275326,SOMERVILLE,13-Jun-2023,7:00 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Wet,Daylight,Not Reported,,Rte 93 S,,,SOUTH from EXIT 21,,,
5275860,SOMERVILLE,14-Jun-2023,3:52 PM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,"Sideswipe, same direction",V1: Parked,V1: W,V1:(Collision with pedestrian),V1:(Passenger car),Dry,Daylight,Clear,,45 BEACON ST Rte W,,,, VU3: Other,232672.77132938,902880.29427836
5275867,SOMERVILLE,15-Jun-2023,6:35 AM,Property damage only (none injured),No Apparent Injury (O),1,0,0,Single vehicle crash,V1: Turning right,V1: S,V1:(Other),V1:(Passenger car),Dry,Daylight,Clear/Clear,,14 MCGRATH HWY Rte S,,,,,234143.26469458,902835.98405787
5275865,SOMERVILLE,15-Jun-2023,6:22 PM,Property damage only (none injured),No Apparent Injury (O),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1: E,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",V1:(Passenger car),Dry,Daylight,Clear,,444 SOMERVILLE AV Rte E,,,, VU2: Bicyclist,232744.64546165,903587.70038356
5275869,SOMERVILLE,16-Jun-2023,9:24 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Turning left / V2: Travelling straight ahead,V1: S  / V2: S,V1:(Collision with light pole or other post/support) / V2:(Collision with light pole or other post/support),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Truck/trailer)",Dry,Daylight,Cloudy,MERRIAM ST Rte S / SOMERVILLE AVE Rte E,MERRIAM ST Rte S / SOMERVILLE AVE Rte E,,,,,233614.9263,903166.1478
5275873,SOMERVILLE,16-Jun-2023,3:18 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Parked / V2: Entering traffic lane,V1: U  / V2: W,V1:(Collision with parked motor vehicle) / V2:(Collision with parked motor vehicle),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Single-unit truck (2-axle, 6-tires))",Dry,Daylight,Clear,,223 HIGHLAND AV Rte W,,,,,232249.79627681,904503.40733216
5266830,SOMERVILLE,16-Jun-2023,4:15 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear,,Rte 93 S,,Exit 20 on Rte 93 S,,,234110.61049626,904849.02618964
5275872,SOMERVILLE,16-Jun-2023,10:15 PM,Unknown,Not reported,2,0,0,Head-on,V1: Parked / V2: Other,V1: S  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with parked motor vehicle),V1:(Passenger car) / V2:(Passenger car),Wet,Dark - unknown roadway lighting,Clear/Cloudy,,179 COLLEGE AV Rte N,,,,,231524.71995313,905919.5752872
5275868,SOMERVILLE,18-Jun-2023,2:01 AM,Property damage only (none injured),No Apparent Injury (O),4,0,0,Angle,V1: Travelling straight ahead / V2: Parked / V3: Parked / V4: Parked,V1: N  / V2:    / V3:    / V4:,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic) / V4:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility)) / V3:(Passenger car) / V4:(Passenger car)",Wet,Dark - lighted roadway,Rain,MEMORIAL RD Rte N / TEMPLE ST Rte E,MEMORIAL RD Rte N / TEMPLE ST Rte E,,,,,233662.0928,905050.2495
5271086,SOMERVILLE,18-Jun-2023,11:45 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: W  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear,MYSTIC AVENUE Rte SR38 N / RAMP-RT 28 SB TO RT 93 SB/MYSTIC AVE SB,MYSTIC AVENUE Rte SR38 N / RAMP-RT 28 SB TO RT 93 SB/MYSTIC AVE SB,,,,,234112.1408,904912.5624
5268696,SOMERVILLE,18-Jun-2023,4:08 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Travelling straight ahead / V2: Turning left,V1: N  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,0 feet  from Intersection  Rte 28 N / PEARL STREET Rte,,,,,233722.0312,904082.3123
5269546,SOMERVILLE,19-Jun-2023,8:30 PM,Property damage only (none injured),No Apparent Injury (O),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1: N,V1:(Collision with median barrier),V1:(Passenger car),Dry,Daylight,Cloudy,,Rte 93 N,,Exit 21 on Rte 93 N,,,234353.90571713,904550.50955679
5269550,SOMERVILLE,20-Jun-2023,4:34 PM,Property damage only (none injured),No Apparent Injury (O),3,0,0,Rear-end,V1: Slowing or stopped in traffic / V2: Travelling straight ahead / V3: Slowing or stopped in traffic,V1:    / V2:    / V3:,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Passenger car) / V3:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,MCGRATH HIGHWAY Rte SR28 N,MCGRATH HIGHWAY Rte SR28 N,,,,,233668.57619066,903863.29239158
5275880,SOMERVILLE,20-Jun-2023,9:27 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Single vehicle crash,V1: Parked / V2: Travelling straight ahead,V1:    / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with parked motor vehicle),V1:(Passenger car) / V2:(Passenger car),Dry,Dark - lighted roadway,Clear/Clear,,MEACHAM RD Rte W / GLOVER CIR Rte,,,,,230907.6309119,905220.82414108
5274886,SOMERVILLE,20-Jun-2023,11:22 PM,Non-fatal injury,Possible Injury (C),3,1,0,Rear-end,V1: Travelling straight ahead / V2: Travelling straight ahead / V3: Travelling straight ahead,V1: N  / V2: N  / V3: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car) / V3:(Passenger car),Dry,Dark - roadway not lighted,Not Reported,,Rte 93 N,,Exit 20 on Rte 93 N,,,234954.64251983,903171.2499051
5275859,SOMERVILLE,21-Jun-2023,9:13 AM,Property damage only (none injured),No Apparent Injury (O),1,0,0,Single vehicle crash,V1: Making U-turn,V1: S,V1:(Collision with fence),V1:(Passenger car),Dry,Daylight,Clear/Clear,,396 MCGRATH HIGHWAY,,,,,233729.49740533,903548.26661825
5275875,SOMERVILLE,21-Jun-2023,10:01 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-to-rear,V1: Backing / V2: Slowing or stopped in traffic,V1: N  / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Other) / V2:(Passenger car),Dry,Daylight,Clear/Clear,ELM ST Rte W / MOSSLAND ST Rte S,ELM ST Rte W / MOSSLAND ST Rte S,,,,,231667.3751,904228.6251
5275857,SOMERVILLE,21-Jun-2023,10:13 AM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,Head-on,V1: Leaving traffic lane,V1: E,V1:(Collision with motor vehicle in traffic),V1:(Passenger car),Dry,Daylight,Clear,,ALEWIFE BROOK PKWY Rte N / BROADWAY Rte,,,, VU3: Other,230165.3436,906330.4999
5275879,SOMERVILLE,21-Jun-2023,1:00 PM,Property damage only (none injured),No Apparent Injury (O),1,0,0,Single vehicle crash,V1: Turning right,V1: W,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",V1:(Passenger car),Dry,Daylight,Clear/Clear,,345 ASSEMBLY ROW,,,, VU2: Bicyclist,234692.06322796,904794.61280699
5269552,SOMERVILLE,22-Jun-2023,3:10 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Changing lanes / V2: Travelling straight ahead,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear,INTERSTATE 93 Rte I93 N,INTERSTATE 93 Rte I93 N,,,,,234401.59167968,904496.85857185
5278006,SOMERVILLE,22-Jun-2023,5:20 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, opposite direction",V1: Turning left / V2: Travelling straight ahead,V1: E  / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,MYSTIC VALLEY PARKWAY Rte SR16 W / BOSTON AVENUE,MYSTIC VALLEY PARKWAY Rte SR16 W / BOSTON AVENUE,,,,,230500.0314,907407.2502
5275876,SOMERVILLE,23-Jun-2023,3:38 PM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,Angle,V1: Slowing or stopped in traffic,V1: U,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))","V1:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear/Clear,JOY ST Rte  / WASHINGTON ST Rte,JOY ST Rte  / WASHINGTON ST Rte,,,, VU2: Bicyclist,233879.7189,903433.375
5278005,SOMERVILLE,24-Jun-2023,1:50 PM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,Single vehicle crash,V1: Changing lanes,V1: N,V1:(Invalid Code Specified),"V1:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,Rte 93 N,,Exit 21 on Rte 93 N,,,234353.90571713,904550.50955679
5277998,SOMERVILLE,24-Jun-2023,5:35 PM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,Single vehicle crash,V1: Changing lanes,V1: N,V1:(Invalid Code Specified),V1:(Passenger car),Dry,Daylight,Clear,,Rte 93 N,,Exit 21 on Rte 93 N,,,234353.90571713,904550.50955679
5275884,SOMERVILLE,25-Jun-2023,5:46 PM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,"Sideswipe, same direction",V1: Turning right,V1: W,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",V1:(Passenger car),Dry,Daylight,Clear,,275 BEACON ST Rte 1 W,,,, VU3: Bicyclist,231934.82243099,903683.24105732
5275882,SOMERVILLE,26-Jun-2023,9:19 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2: Travelling straight ahead,V1: E  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear/Clear,,31 WASHINGTON ST Rte E,,,,,234382.86751682,903570.85280371
5274903,SOMERVILLE,26-Jun-2023,6:01 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Changing lanes / V2: Travelling straight ahead,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Dry,Daylight,Clear,,328 MYSTIC AVENUE Rte SR38 S,,,,,234075.75284817,904839.55120978
5275871,SOMERVILLE,27-Jun-2023,9:19 AM,Property damage only (none injured),No Apparent Injury (O),3,0,0,Rear-end,V1: Slowing or stopped in traffic / V2: Travelling straight ahead / V3: Slowing or stopped in traffic,V1: S  / V2: S  / V3: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car) / V3:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Cloudy,,132 CEDAR ST Rte S,,,,,231973.2952501,904817.09442911
5275870,SOMERVILLE,27-Jun-2023,3:53 PM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,"Sideswipe, opposite direction",V1: Travelling straight ahead,V1: N,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",V1:(Passenger car),Dry,Daylight,Clear/Clear,,CEDAR ST Rte E / HIGHLAND AVE Rte,,,, VU3: Bicyclist,231914.8124,904706.9376
5275877,SOMERVILLE,28-Jun-2023,8:14 AM,Property damage only (none injured),No Apparent Injury (O),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1: S,V1:(Collision with tree),"V1:(Single-unit truck (2-axle, 6-tires))",Wet,Daylight,Cloudy/Rain,,74 CHANDLER ST Rte S,,,,,231230.13829114,905580.01798416
5275883,SOMERVILLE,28-Jun-2023,8:32 AM,Property damage only (none injured),No Apparent Injury (O),1,0,0,Single vehicle crash,V1: Turning left,V1: S,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",V1:(Passenger car),Wet,Daylight,Rain/Rain,BEACON ST Rte W / PRENTISS ST Rte S,BEACON ST Rte W / PRENTISS ST Rte S,,,, VU2: Bicyclist,231760.9845,903872.0627
